,surgery,Age,rectal temperature,pulse,respiratory rate,temperature of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,outcome,surgical lesion,cp_data,site of lesion,type,subtype,specific code
13,1.0,1,38.2,76.0,28.0,3.0,1,1,1,3,4,1,2,2.0,6,4,4,46,81.0,1,2.0,1,1,2,2.0,1.0,1,2
14,1.0,1,37.6,96.0,48.0,3.0,1,4,1,5,3,3,2,3.0,4,4,4,45,6.8,2,2.0,2,1,2,3.0,2.0,1,7
15,1.0,2,38.0,128.0,36.0,3.0,3,4,2,4,4,3,3,1.0,6,4,5,53,7.8,3,4.7,2,2,1,1.0,4.0,1,4
16,2.0,1,37.5,48.0,24.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,2.0,1,2,2,0.0,1.0,1,4
17,1.0,1,37.6,64.0,21.0,1.0,1,2,1,2,3,1,1,1.0,6,2,5,40,7.0,1,2.0,1,1,1,4.0,2.0,1,5
18,2.0,1,39.4,110.0,35.0,4.0,3,6,1,3,3,3,2,1.0,6,3,4,55,8.7,2,2.0,1,2,2,0.0,1.0,1,4
19,1.0,1,39.9,72.0,60.0,1.0,1,5,2,5,4,4,3,1.0,6,4,4,46,6.1,2,2.0,1,1,2,2.0,1.0,1,1
20,2.0,1,38.4,48.0,16.0,1.0,1,1,1,1,3,1,2,3.0,5,4,3,49,6.8,2,2.0,1,2,2,0.0,1.0,1,4
21,1.0,1,38.6,42.0,34.0,2.0,1,4,1,2,3,1,2,1.0,6,1,4,48,7.2,2,2.0,1,1,2,3.0,1.0,1,1
22,1.0,2,38.3,130.0,60.0,3.0,3,3,1,2,4,2,2,1.0,6,3,4,50,70.0,2,2.0,1,1,2,3.0,1.0,1,1
23,1.0,1,38.1,60.0,12.0,3.0,3,3,1,3,4,3,3,2.0,2,3,4,51,65.0,2,2.0,1,1,2,3.0,1.0,1,1
24,2.0,1,37.8,60.0,42.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,2.0,1,2,2,0.0,1.0,1,4
25,1.0,1,38.3,72.0,30.0,4.0,3,3,2,3,3,3,2,1.0,6,3,5,43,7.0,2,3.9,1,1,1,3.0,1.0,1,1
26,1.0,1,37.8,48.0,12.0,3.0,1,1,1,3,3,2,1,1.0,6,1,3,37,5.5,2,1.3,1,2,1,4.0,1.0,2,2
27,1.0,1,38.0,60.0,29.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,2.0,2,2,2,4.0,3.0,1,4
28,2.0,1,37.7,48.0,29.0,2.0,1,1,1,1,1,1,1,1.0,6,3,4,45,76.0,2,2.0,1,2,2,0.0,1.0,1,4
29,2.0,1,37.7,96.0,30.0,3.0,3,4,2,5,4,4,3,2.0,4,4,5,66,7.5,2,2.0,2,1,2,4.0,2.0,1,5
30,2.0,1,37.2,108.0,12.0,3.0,3,4,2,2,4,2,2,3.0,6,3,3,52,8.2,3,7.4,2,1,1,2.0,2.0,1,7
31,1.0,1,37.2,60.0,29.0,2.0,1,1,1,3,3,3,2,1.0,6,4,5,43,6.6,2,2.0,1,1,2,2.0,2.0,1,9
32,1.0,1,38.2,64.0,28.0,1.0,1,1,1,3,1,2,2,1.0,6,4,4,49,8.6,2,6.6,1,1,1,2.0,2.0,1,8
33,1.0,1,38.0,100.0,30.0,3.0,3,4,2,5,4,4,3,3.0,6,4,4,52,6.6,2,2.0,1,1,2,1.0,1.0,2,4
34,2.0,1,38.0,104.0,24.0,4.0,3,3,2,4,4,3,2,3.0,6,3,2,73,8.4,2,2.0,2,1,2,7.0,1.0,1,1
35,2.0,1,38.3,112.0,16.0,3.0,3,5,2,3,3,1,1,2.0,6,3,5,51,6.0,2,1.0,2,2,1,5.0,2.0,1,5
36,1.0,1,37.8,72.0,29.0,3.0,3,3,1,5,3,1,2,1.0,6,1,1,56,80.0,1,2.0,1,1,2,3.0,1.0,1,1
37,2.0,1,38.6,52.0,29.0,1.0,1,1,1,3,3,2,1,1.0,6,1,3,32,6.6,1,5.0,1,2,1,0.0,1.0,1,4
38,1.0,2,39.2,146.0,96.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,2.0,2,1,2,2.0,1.0,1,3
39,1.0,1,38.0,88.0,29.0,3.0,3,6,2,5,3,3,1,3.0,6,4,5,63,6.5,3,2.0,2,1,2,4.0,2.0,1,5
40,2.0,2,39.0,150.0,72.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,47,8.5,2,0.1,1,1,1,9.0,4.0,1,4
41,2.0,1,38.0,60.0,12.0,3.0,1,3,1,3,3,1,1,1.0,6,2,2,47,7.0,2,2.0,1,2,2,3.0,1.0,1,1
42,1.0,1,38.0,120.0,29.0,3.0,4,4,1,4,4,4,1,1.0,6,3,5,52,67.0,2,2.0,2,1,2,3.0,2.0,1,5
43,1.0,1,35.4,140.0,24.0,3.0,3,4,2,4,4,2,2,1.0,6,3,5,57,69.0,3,2.0,2,1,2,3.0,2.0,1,5
44,2.0,1,38.0,120.0,29.0,4.0,3,4,2,5,4,4,1,1.0,6,4,5,60,6.5,3,2.0,2,1,2,3.0,2.0,1,5
45,1.0,1,37.9,60.0,15.0,3.0,1,4,2,5,4,4,2,2.0,6,4,5,65,7.5,2,2.0,1,1,1,2.0,3.0,1,5
46,2.0,1,37.5,48.0,16.0,1.0,1,1,1,1,1,1,1,1.0,6,1,4,37,6.5,2,2.0,1,2,2,0.0,1.0,1,4
47,1.0,1,38.9,80.0,44.0,3.0,3,3,2,2,3,3,2,2.0,7,3,1,54,6.5,3,2.0,2,1,2,7.0,1.0,1,1
48,2.0,1,37.2,84.0,48.0,3.0,3,5,2,4,1,2,1,2.0,6,2,1,73,5.5,2,4.1,2,2,1,4.0,3.0,1,4
49,2.0,1,38.6,46.0,29.0,1.0,1,2,1,1,3,2,1,1.0,6,3,2,49,9.1,1,1.6,1,2,1,3.0,1.0,1,1
50,1.0,1,37.4,84.0,36.0,1.0,1,3,2,3,3,2,2,1.0,6,4,5,42,7.3,3,2.0,2,1,1,7.0,2.0,1,9
51,2.0,1,38.0,60.0,29.0,1.0,1,3,1,1,3,1,2,1.0,6,2,2,43,7.7,2,2.0,1,2,2,3.0,1.0,1,1
52,2.0,1,38.6,40.0,20.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,41,6.4,2,2.0,1,2,1,3.0,1.0,1,1
53,2.0,1,40.3,114.0,36.0,3.0,3,1,2,2,3,3,2,1.0,7,1,5,57,8.1,3,4.5,2,1,1,7.0,4.0,1,4
54,1.0,2,38.6,160.0,20.0,3.0,1,5,1,3,3,4,3,1.0,6,4,4,38,7.3,2,2.0,2,1,1,7.0,1.0,1,1
55,1.0,1,38.0,60.0,29.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,24,6.7,2,2.0,1,1,2,3.0,1.0,1,2
56,1.0,1,38.0,64.0,36.0,2.0,1,2,1,5,3,3,2,2.0,6,3,4,42,7.7,2,2.0,2,1,2,3.0,2.0,1,9
57,1.0,1,38.0,60.0,20.0,4.0,3,3,1,5,4,3,2,1.0,6,4,4,53,5.9,3,2.0,2,1,1,3.0,2.0,1,5
58,2.0,1,38.0,96.0,29.0,3.0,3,3,2,5,4,4,1,2.0,6,4,5,60,7.3,2,2.0,2,1,2,4.0,2.0,1,5
59,2.0,1,37.8,48.0,32.0,1.0,1,3,1,2,1,2,1,1.0,6,4,5,37,6.7,2,2.0,1,2,2,2.0,1.0,2,4
60,2.0,1,38.5,60.0,29.0,2.0,2,1,1,1,2,2,2,1.0,6,1,1,44,7.7,2,2.0,1,2,2,0.0,1.0,1,4
61,1.0,1,37.8,88.0,22.0,2.0,1,2,1,3,3,2,2,1.0,6,4,4,64,8.0,1,6.0,2,1,1,3.0,2.0,1,5
62,2.0,1,38.2,130.0,16.0,4.0,3,4,2,2,4,4,1,1.0,6,3,4,65,82.0,2,2.0,2,2,2,2.0,2.0,1,9
63,1.0,1,39.0,64.0,36.0,3.0,1,4,2,3,3,2,1,2.0,7,4,5,44,7.5,3,5.0,1,1,1,2.0,1.0,1,3
64,1.0,1,38.0,60.0,36.0,3.0,1,3,1,3,3,2,1,1.0,6,3,4,26,72.0,2,1.0,1,1,2,2.0,2.0,1,8
65,2.0,1,37.9,72.0,29.0,1.0,1,5,2,3,3,1,1,3.0,2,3,4,58,74.0,1,2.0,1,1,2,2.0,3.0,2,2
66,2.0,1,38.4,54.0,24.0,1.0,1,1,1,1,3,1,2,1.0,6,3,2,49,7.2,1,2.0,1,2,1,3.0,1.0,1,1
67,2.0,1,38.0,52.0,16.0,1.0,1,3,1,3,3,2,2,3.0,5,3,4,55,7.2,2,2.0,1,2,2,2.0,1.0,2,4
68,2.0,1,38.0,48.0,12.0,1.0,1,1,1,1,3,2,1,1.0,6,3,2,42,6.3,2,4.1,1,2,1,3.0,1.0,1,1
69,2.0,1,37.0,60.0,20.0,3.0,1,3,1,3,3,3,2,2.0,4,4,4,43,7.6,2,2.0,2,1,1,2.0,2.0,1,9
70,1.0,1,37.8,48.0,28.0,1.0,1,1,1,1,2,1,2,1.0,6,1,1,46,5.9,2,7.0,1,2,1,0.0,1.0,1,4
71,1.0,1,37.7,56.0,29.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,2.0,2,1,2,2.0,1.0,1,3
72,1.0,1,38.1,52.0,24.0,1.0,1,5,1,4,3,1,2,3.0,7,1,4,54,7.5,2,2.6,2,1,1,2.0,1.0,1,2
73,1.0,2,38.0,60.0,29.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,37,4.9,2,2.0,2,1,2,1.0,1.0,1,2
74,1.0,2,39.7,100.0,29.0,3.0,3,5,2,2,3,2,2,1.0,6,3,4,48,57.0,2,2.0,2,1,2,1.0,4.0,1,4
75,1.0,1,37.6,38.0,20.0,3.0,3,1,1,3,3,2,2,1.0,6,3,4,37,68.0,2,2.0,1,1,2,3.0,2.0,1,5
76,2.0,1,38.7,52.0,20.0,2.0,1,1,1,1,1,1,1,1.0,6,1,1,33,77.0,2,2.0,1,2,2,0.0,1.0,1,4
77,1.0,1,38.0,60.0,29.0,3.0,3,3,1,5,3,3,3,2.0,6,4,5,46,5.9,2,2.0,2,1,2,3.0,1.0,2,5
78,1.0,1,37.5,96.0,18.0,1.0,3,6,2,3,4,2,2,3.0,5,3,4,69,8.9,3,2.0,1,1,1,2.0,2.0,1,8
79,1.0,1,36.4,98.0,35.0,3.0,3,4,1,4,3,2,2,1.0,6,4,4,47,6.4,3,3.6,2,1,1,2.0,2.0,1,5
80,1.0,1,37.3,40.0,29.0,3.0,3,1,1,2,3,2,3,1.0,6,3,5,36,7.3,3,2.0,1,1,2,3.0,1.0,1,1
81,1.0,2,38.1,100.0,80.0,3.0,1,2,1,3,4,1,2,1.0,6,1,4,36,5.7,2,2.0,1,1,2,3.0,1.0,1,1
82,1.0,1,38.0,60.0,24.0,3.0,3,6,2,5,3,4,1,1.0,6,3,4,68,7.8,2,2.0,2,1,2,3.0,2.0,1,5
83,1.0,1,37.8,60.0,80.0,1.0,3,2,2,2,3,3,2,2.0,5,4,4,40,4.5,2,2.0,1,1,1,5.0,2.0,1,6
84,2.0,1,38.0,54.0,30.0,2.0,3,3,1,3,1,2,2,2.0,6,3,4,45,6.2,2,2.0,1,2,2,4.0,1.0,1,4
85,1.0,1,38.0,88.0,40.0,3.0,3,4,2,5,4,3,3,1.0,6,4,5,50,7.7,3,1.4,2,1,1,4.0,2.0,1,5
86,2.0,1,38.0,40.0,16.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,50,7.0,2,3.9,2,1,1,2.0,2.0,1,8
87,2.0,1,39.0,64.0,40.0,1.0,1,5,1,3,3,2,2,1.0,6,3,3,42,7.5,2,2.3,1,2,1,5.0,1.0,1,4
88,2.0,1,38.3,42.0,10.0,1.0,1,1,1,1,1,1,2,1.0,6,3,4,38,61.0,2,2.0,1,2,2,0.0,1.0,1,4
89,2.0,1,38.0,52.0,16.0,3.0,1,3,1,2,3,2,2,3.0,1,1,1,53,86.0,2,2.0,1,1,2,2.0,3.0,2,2
90,2.0,1,40.3,114.0,36.0,3.0,3,1,2,2,3,3,2,1.0,7,1,5,57,8.1,3,4.5,2,1,1,3.0,2.0,1,5
91,2.0,1,38.8,50.0,20.0,3.0,1,1,1,1,1,1,2,1.0,6,3,1,42,6.2,2,2.0,1,2,2,0.0,1.0,1,4
92,2.0,1,38.0,60.0,29.0,3.0,3,1,1,5,3,3,1,1.0,6,4,5,38,6.5,2,2.0,2,1,2,3.0,2.0,1,5
93,2.0,1,37.5,48.0,30.0,4.0,1,3,1,3,2,1,1,1.0,6,1,1,48,8.6,2,2.0,1,2,2,0.0,1.0,1,4
94,1.0,1,37.3,48.0,20.0,3.0,1,2,1,3,3,3,2,1.0,6,3,5,41,69.0,2,2.0,1,1,2,3.0,2.0,1,5
95,2.0,1,38.0,84.0,36.0,3.0,1,3,1,3,3,1,2,1.0,6,3,2,44,8.5,2,2.0,1,1,2,3.0,1.0,1,1
96,1.0,1,38.1,88.0,32.0,3.0,3,4,1,2,3,3,2,3.0,1,4,5,55,60.0,2,2.0,2,2,2,3.0,2.0,1,5
97,2.0,1,37.7,44.0,40.0,2.0,1,3,1,1,3,2,1,1.0,6,1,5,41,60.0,2,2.0,1,2,2,0.0,1.0,1,4
98,2.0,1,39.6,108.0,51.0,3.0,3,6,2,2,4,3,1,2.0,6,3,5,59,8.0,2,2.6,1,2,1,4.0,3.0,1,4
99,1.0,1,38.2,40.0,16.0,3.0,3,1,1,1,3,2,2,1.0,6,1,1,34,66.0,2,2.0,1,2,2,0.0,1.0,1,4
100,1.0,1,38.0,60.0,20.0,4.0,3,4,2,5,4,2,2,1.0,6,4,5,42,7.3,2,2.0,2,1,2,3.0,2.0,1,5
101,2.0,1,38.3,40.0,16.0,3.0,1,1,1,2,3,2,2,1.0,6,3,4,37,57.0,2,2.0,1,2,2,0.0,1.0,1,4
102,1.0,2,38.0,140.0,68.0,1.0,1,1,1,3,3,2,2,1.0,6,2,1,39,5.3,2,2.0,1,1,2,7.0,1.0,1,1
103,1.0,1,37.8,52.0,24.0,1.0,3,3,1,4,4,1,2,3.0,5,2,5,48,6.6,1,3.7,2,1,2,5.0,4.0,1,4
104,1.0,1,38.0,70.0,36.0,1.0,1,3,2,2,3,2,2,1.0,6,4,5,36,7.3,2,2.0,1,1,2,3.0,1.0,1,1
105,1.0,1,38.3,52.0,96.0,3.0,3,3,1,3,3,2,1,1.0,6,1,4,43,6.1,2,2.0,1,1,1,3.0,2.0,1,9
106,2.0,1,37.3,50.0,32.0,1.0,1,3,1,1,3,2,2,1.0,6,1,4,44,7.0,2,2.0,1,2,2,0.0,1.0,1,4
107,1.0,1,38.7,60.0,32.0,4.0,3,2,2,4,4,4,2,1.0,6,4,5,53,64.0,3,2.0,2,1,2,3.0,2.0,1,5
108,1.0,2,38.4,84.0,40.0,3.0,3,2,1,3,3,3,1,1.0,6,3,4,36,6.6,2,2.8,2,1,1,2.0,2.0,1,5
109,1.0,1,38.0,70.0,16.0,3.0,4,5,2,2,3,2,2,1.0,6,4,5,60,7.5,2,2.0,2,1,2,2.0,1.0,1,2
110,1.0,1,38.3,40.0,16.0,3.0,1,3,1,1,3,2,2,1.0,6,3,4,38,58.0,1,2.0,1,1,2,3.0,1.0,1,1
111,1.0,1,38.0,40.0,29.0,2.0,1,1,1,1,3,1,1,1.0,6,3,5,39,56.0,2,2.0,1,1,2,3.0,1.0,1,1
112,1.0,1,36.8,60.0,28.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,10.0,2,1,1,3.0,2.0,1,5
113,1.0,1,38.4,44.0,24.0,3.0,1,4,1,5,4,3,2,1.0,6,4,5,50,77.0,2,2.0,1,1,2,3.0,2.0,1,5
114,2.0,1,38.0,60.0,40.0,3.0,1,1,1,3,3,2,2,1.0,6,3,4,45,70.0,2,2.0,1,2,2,0.0,1.0,1,4
115,1.0,1,38.0,44.0,12.0,1.0,1,1,1,3,3,3,2,1.0,6,4,5,42,65.0,2,2.0,1,1,2,3.0,2.0,1,5
116,2.0,1,39.5,60.0,29.0,3.0,3,4,2,3,4,3,2,3.0,5,4,5,42,6.7,1,2.0,2,1,2,4.0,2.0,1,5
117,1.0,1,36.5,78.0,30.0,1.0,1,1,1,5,3,1,2,1.0,6,3,4,34,75.0,2,1.0,1,1,2,3.0,1.0,1,2
118,2.0,1,38.1,56.0,20.0,2.0,1,2,1,1,3,1,1,1.0,6,3,4,46,70.0,2,2.0,1,2,2,0.0,1.0,1,4
119,1.0,1,39.4,54.0,66.0,1.0,1,2,1,2,3,2,1,1.0,6,3,4,39,6.0,2,2.0,1,1,1,2.0,2.0,1,6
120,1.0,1,38.3,80.0,40.0,3.0,1,6,2,4,3,1,2,2.0,6,1,4,67,10.2,2,1.0,2,1,2,2.0,2.0,1,8
121,2.0,1,38.7,40.0,28.0,2.0,1,1,1,3,1,1,2,1.0,6,1,4,39,62.0,1,1.0,1,2,2,0.0,1.0,1,4
122,1.0,1,38.2,64.0,24.0,1.0,1,3,1,4,4,3,2,1.0,6,4,4,45,7.5,1,2.0,2,1,1,3.0,2.0,1,5
123,2.0,1,37.6,48.0,20.0,3.0,1,4,1,1,1,3,2,1.0,6,1,1,37,5.5,2,2.0,2,1,2,2.0,2.0,1,5
124,1.0,1,38.0,42.0,68.0,4.0,1,1,1,3,3,2,2,2.0,6,4,4,41,7.6,2,2.0,1,1,2,2.0,2.0,1,5
125,1.0,1,38.7,60.0,29.0,3.0,1,3,1,5,4,2,2,1.0,6,3,4,33,6.5,2,2.0,1,1,2,3.0,1.0,1,1
126,1.0,1,37.4,50.0,32.0,3.0,3,3,1,4,4,1,2,1.0,6,1,4,45,7.9,2,1.0,1,1,1,2.0,2.0,1,8
127,1.0,1,37.4,84.0,20.0,3.0,1,3,1,2,3,3,2,1.0,6,3,4,31,61.0,2,1.0,2,2,2,2.0,2.0,1,8
128,1.0,1,38.4,49.0,29.0,3.0,1,1,1,3,3,1,2,1.0,6,3,4,44,7.6,2,2.0,1,1,2,2.0,2.0,1,6
129,1.0,1,37.8,30.0,12.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,42,7.3,2,2.0,2,1,2,2.0,1.0,1,3
130,2.0,1,37.6,88.0,36.0,3.0,1,1,1,3,3,2,1,3.0,1,3,4,44,6.0,2,2.0,2,1,2,1.0,4.0,1,4
131,1.0,1,38.0,48.0,20.0,3.0,1,3,1,4,3,1,2,1.0,6,3,5,43,73.0,2,1.0,1,1,2,3.0,1.0,1,1
132,2.0,1,37.9,40.0,24.0,1.0,1,1,1,2,3,1,2,1.0,6,3,3,40,5.7,2,2.0,1,1,2,4.0,1.0,1,4
133,1.0,1,38.0,100.0,29.0,3.0,1,4,2,5,4,2,2,1.0,6,2,4,59,6.3,2,2.0,2,1,2,4.0,2.0,1,5
134,1.0,2,38.1,136.0,48.0,3.0,3,3,1,5,1,3,2,2.0,4,2,4,33,4.9,2,2.9,2,1,1,2.0,2.0,1,5
135,1.0,1,38.0,60.0,29.0,3.0,3,3,2,5,3,3,3,2.0,6,4,5,46,5.9,2,2.0,2,1,2,3.0,1.0,2,5
136,1.0,1,38.0,48.0,29.0,1.0,1,1,1,1,2,4,2,2.0,6,4,5,42,7.3,2,2.0,1,1,2,3.0,1.0,1,1
137,2.0,1,38.0,56.0,29.0,1.0,2,3,1,1,1,1,1,1.0,6,1,1,42,71.0,2,2.0,1,2,2,0.0,1.0,1,4
138,2.0,1,38.0,60.0,32.0,1.0,1,3,1,3,3,2,1,1.0,6,3,4,50,7.0,1,1.0,1,2,2,0.0,1.0,1,4
139,1.0,1,38.1,44.0,9.0,3.0,1,1,1,2,2,1,1,1.0,6,4,5,31,7.3,2,2.0,1,2,2,5.0,1.0,2,4
140,2.0,1,36.0,42.0,30.0,3.0,1,5,1,3,3,2,2,1.0,6,3,4,64,6.8,2,2.0,2,2,2,1.0,4.0,1,4
141,1.0,1,38.0,120.0,29.0,4.0,3,6,2,5,4,4,2,1.0,6,4,5,57,4.5,3,3.9,2,1,1,3.0,2.0,1,5
142,1.0,1,37.8,48.0,28.0,1.0,1,1,2,1,2,1,2,1.0,6,1,1,46,5.9,2,7.0,1,2,1,0.0,1.0,1,4
143,1.0,1,37.1,84.0,40.0,3.0,3,6,1,2,4,4,3,2.0,2,4,5,75,81.0,2,2.0,2,2,2,1.0,4.0,1,4
144,2.0,1,38.0,80.0,32.0,3.0,3,2,1,2,3,3,2,1.0,6,3,4,50,80.0,2,2.0,1,1,2,0.0,1.0,1,4
145,1.0,1,38.2,48.0,29.0,1.0,3,3,1,3,4,4,1,3.0,2,4,5,42,71.0,2,2.0,1,1,2,3.0,1.0,1,1
146,2.0,1,38.0,44.0,12.0,2.0,1,3,1,3,4,3,1,2.0,6,1,4,33,6.5,2,2.0,2,1,2,2.0,2.0,1,9
147,1.0,1,38.3,132.0,29.0,3.0,3,6,2,2,4,2,2,3.0,6,4,4,57,8.0,2,5.2,1,1,1,2.0,1.0,1,2
148,2.0,1,38.7,48.0,24.0,3.0,1,3,1,1,1,2,1,1.0,6,1,4,34,63.0,2,2.0,1,2,2,0.0,1.0,1,4
149,2.0,1,38.9,44.0,14.0,3.0,1,1,1,2,3,2,2,1.0,6,3,2,33,64.0,2,2.0,1,2,2,0.0,1.0,1,4
150,1.0,1,39.3,60.0,29.0,4.0,3,6,2,4,4,2,1,3.0,4,4,4,75,7.3,3,4.3,2,1,1,2.0,2.0,1,7
151,1.0,1,38.0,100.0,29.0,3.0,3,4,2,3,4,4,2,1.0,2,3,4,68,64.0,3,2.0,1,1,2,2.0,2.0,1,9
152,2.0,1,38.6,48.0,20.0,3.0,1,1,1,1,3,2,2,1.0,6,3,2,50,7.3,1,2.0,1,2,1,3.0,1.0,1,1
153,2.0,1,38.8,48.0,40.0,1.0,1,3,1,3,3,4,2,1.0,6,3,5,41,65.0,2,2.0,1,1,2,4.0,1.0,2,4
154,2.0,1,38.0,48.0,20.0,3.0,3,4,1,1,4,2,2,1.0,5,3,2,49,8.3,1,2.0,1,2,1,4.0,1.0,1,4
155,2.0,1,38.6,52.0,20.0,1.0,1,1,1,3,3,2,1,1.0,6,1,3,36,6.6,1,5.0,1,2,1,0.0,1.0,1,4
156,1.0,1,37.8,60.0,24.0,1.0,1,3,2,3,4,4,2,3.0,2,3,5,52,75.0,2,2.0,2,1,2,2.0,2.0,1,5
157,2.0,1,38.0,42.0,40.0,3.0,1,1,1,3,3,1,2,1.0,6,3,4,42,7.3,2,2.0,1,2,2,3.0,1.0,1,1
158,2.0,1,38.0,60.0,12.0,1.0,1,2,1,2,1,2,3,1.0,6,1,3,44,7.5,2,2.0,1,2,1,0.0,1.0,1,4
159,1.0,1,38.0,60.0,29.0,3.0,1,3,1,4,3,2,1,1.0,6,3,5,35,58.0,2,1.0,1,1,2,4.0,2.0,1,5
160,1.0,1,38.3,42.0,24.0,3.0,1,3,1,3,3,2,2,1.0,6,3,4,40,8.5,2,2.0,2,1,2,7.0,1.0,1,3
161,2.0,1,39.5,60.0,10.0,3.0,1,3,2,3,3,2,2,1.0,6,3,4,38,56.0,1,2.0,1,2,2,0.0,1.0,1,4
162,1.0,1,38.0,66.0,20.0,1.0,3,3,1,5,3,1,1,1.0,6,3,4,46,46.0,3,2.0,2,1,2,6.0,2.0,1,9
163,1.0,1,38.7,76.0,29.0,1.0,1,5,2,3,3,2,2,2.0,6,4,4,50,8.0,2,2.0,1,1,1,2.0,2.0,1,8
164,1.0,1,39.4,120.0,48.0,3.0,1,5,1,3,3,3,1,1.0,6,4,4,56,64.0,1,2.0,2,2,2,1.0,4.0,1,4
165,1.0,1,38.3,40.0,18.0,1.0,1,1,1,3,1,1,2,1.0,6,2,1,43,5.9,1,2.0,1,2,1,0.0,1.0,1,4
166,2.0,1,38.0,44.0,24.0,1.0,1,1,1,3,3,1,2,1.0,6,3,1,42,6.3,2,2.0,1,2,2,3.0,1.0,1,1
167,1.0,1,38.4,104.0,40.0,1.0,1,3,1,2,4,2,2,3.0,6,3,4,55,8.5,2,2.0,1,1,2,2.0,1.0,2,4
168,1.0,1,38.0,65.0,24.0,3.0,1,3,2,5,3,4,3,1.0,6,3,5,42,7.3,2,2.0,2,1,2,3.0,2.0,1,5
169,2.0,1,37.5,44.0,20.0,1.0,1,3,1,3,1,1,2,1.0,6,1,4,35,7.2,2,2.0,1,2,2,0.0,1.0,1,4
170,2.0,1,39.0,86.0,16.0,3.0,3,5,1,3,3,3,2,2.0,6,3,4,68,5.8,3,6.0,2,1,1,5.0,4.0,1,4
171,1.0,1,38.5,129.0,48.0,3.0,3,3,1,2,4,3,1,3.0,2,3,4,57,66.0,3,2.0,1,1,2,2.0,2.0,1,6
172,1.0,1,38.0,104.0,29.0,3.0,3,5,2,2,4,3,2,3.0,6,4,4,69,8.6,2,3.4,2,1,1,2.0,2.0,1,7
173,2.0,1,38.0,60.0,29.0,3.0,4,6,1,4,3,4,2,1.0,6,3,4,42,7.3,2,2.0,2,1,1,3.0,4.0,1,4
